x1,y1,x2,y2,weight
401.72,379.28,444.62,369.80,43.9360
401.72,379.28,357.39,408.49,53.0873
728.83,483.13,737.73,480.37,9.3209
728.83,483.13,714.57,475.33,16.2522
728.83,483.13,704.76,511.30,37.0424
279.20,145.16,282.06,176.83,31.7989
279.20,145.16,264.89,110.56,37.4464
202.01,520.14,216.16,521.92,14.2646
202.01,520.14,174.15,541.09,34.8581
35.13,311.61,43.51,308.75,8.8510
35.13,311.61,20.93,310.02,14.2900
122.59,98.46,110.85,108.67,15.5560
658.06,189.03,658.48,174.45,14.5816
658.06,189.03,671.24,206.60,21.9627
658.06,189.03,620.81,205.89,40.8940
80.66,94.53,85.51,74.29,20.8147
80.66,94.53,57.93,96.54,22.8249
738.52,345.69,735.69,323.22,22.6495
738.52,345.69,729.44,367.19,23.3318
729.44,367.19,723.85,370.23,6.3679
671.24,206.60,680.00,202.41,9.7028
671.24,206.60,676.75,219.18,13.7357
422.46,229.60,404.65,219.09,20.6857
422.46,229.60,446.22,232.33,23.9155
768.37,129.35,734.62,146.34,37.7761
764.98,576.83,762.03,564.56,12.6214
610.04,563.84,606.83,581.35,17.8024
610.04,563.84,636.87,539.24,36.4063
252.20,263.97,254.01,270.53,6.8103
709.12,580.03,704.91,563.10,17.4399
709.12,580.03,732.78,583.66,23.9414
734.62,146.34,709.02,132.51,29.0930
734.62,146.34,709.93,175.04,37.8633
103.42,70.33,85.51,74.29,18.3391
620.81,205.89,631.63,220.53,18.2093
709.24,268.55,719.95,277.50,13.9596
709.24,268.55,692.09,243.97,29.9676
350.81,307.60,345.47,295.68,13.0618
350.81,307.60,370.83,321.84,24.5667
353.96,575.53,348.32,571.76,6.7875
517.80,241.18,545.92,257.00,32.2627
517.80,241.18,484.45,207.00,47.7584
319.52,481.37,314.71,476.53,6.8201
319.52,481.37,329.90,511.48,31.8505
259.40,28.44,251.30,38.24,12.7185
314.71,476.53,300.61,485.05,16.4746
314.71,476.53,294.61,452.59,31.2556
314.71,476.53,343.04,443.22,43.7351
194.28,267.75,200.34,284.83,18.1239
194.28,267.75,184.37,239.81,29.6398
75.54,167.61,50.87,188.99,32.6384
75.54,167.61,91.29,124.48,45.9194
36.67,272.19,63.19,289.52,31.6827
36.67,272.19,51.09,238.66,36.5006
200.34,284.83,179.14,292.23,22.4606
200.34,284.83,254.01,270.53,55.5431
719.95,277.50,735.69,323.22,48.3522
456.09,382.37,444.62,369.80,17.0211
48.86,488.43,49.58,487.72,1.0076
48.86,488.43,21.76,507.89,33.3717
275.30,538.30,296.74,546.02,22.7853
275.30,538.30,254.08,550.89,24.6744
407.65,83.83,398.38,100.25,18.8525
407.65,83.83,391.99,48.39,38.7466
23.95,519.54,21.76,507.89,11.8537
23.95,519.54,60.21,523.97,36.5336
23.95,519.54,27.29,561.92,42.5037
391.99,48.39,411.67,22.84,32.2466
401.21,233.89,404.65,219.09,15.1983
401.21,233.89,380.33,224.56,22.8690
401.21,233.89,409.74,266.65,33.8490
631.63,220.53,606.64,243.91,34.2206
255.50,175.40,282.06,176.83,26.5969
302.67,178.35,302.23,171.47,6.8974
302.67,178.35,282.06,176.83,20.6656
302.67,178.35,304.25,214.25,35.9351
713.12,222.52,716.28,225.26,4.1794
713.12,222.52,710.71,226.75,4.8638
179.14,292.23,166.88,278.34,18.5285
179.14,292.23,176.47,313.53,21.4594
85.51,74.29,76.61,35.90,39.4113
139.22,567.33,145.84,554.58,14.3699
139.22,567.33,97.64,571.54,41.7870
213.21,557.55,221.09,554.36,8.5105
347.72,85.82,346.09,78.65,7.3506
347.72,85.82,360.53,88.93,13.1876
493.91,69.99,514.89,36.81,39.2506
529.69,356.41,524.91,381.84,25.8703
529.69,356.41,552.03,320.07,42.6641
529.69,356.41,577.37,366.53,48.7420
76.61,35.90,107.02,23.99,32.6585
76.61,35.90,28.30,32.22,48.4513
346.09,78.65,325.88,51.71,33.6805
446.17,533.54,441.06,538.99,7.4733
446.17,533.54,472.89,490.11,50.9857
352.37,424.07,341.88,429.10,11.6339
352.37,424.07,357.39,408.49,16.3710
218.99,92.99,250.99,100.77,32.9363
529.86,567.60,519.78,580.32,16.2294
529.86,567.60,557.59,566.10,27.7653
663.98,558.49,636.87,539.24,33.2470
663.98,558.49,704.91,563.10,41.1945
519.78,580.32,488.44,576.02,31.6305
367.49,540.23,366.95,522.48,17.7612
367.49,540.23,348.32,571.76,36.9031
131.06,310.23,136.26,311.77,5.4256
131.06,310.23,102.75,324.11,31.5285
