x1,y1,x2,y2,weight
617.30,234.94,602.74,216.33,23.6269
617.30,234.94,641.24,198.80,43.3523
617.30,234.94,604.37,293.36,59.8327
617.30,234.94,669.67,260.08,58.0877
617.30,234.94,585.41,242.70,32.8205
617.30,234.94,629.23,280.08,46.6910
617.30,234.94,650.22,216.71,37.6330
617.30,234.94,588.41,246.07,30.9511
328.21,209.64,354.75,252.92,50.7705
328.21,209.64,372.17,220.35,45.2480
328.21,209.64,387.66,210.04,59.4475
328.21,209.64,341.08,186.24,26.7022
328.21,209.64,323.46,164.19,45.6917
328.21,209.64,351.82,182.04,36.3145
328.21,209.64,320.74,244.52,35.6750
328.21,209.64,277.73,182.24,57.4345
328.21,209.64,343.29,262.28,54.7573
328.21,209.64,315.80,155.04,55.9894
328.21,209.64,276.24,207.54,52.0111
328.21,209.64,274.95,226.12,55.7535
118.15,290.53,62.59,312.00,59.5652
118.15,290.53,72.57,262.74,53.3903
118.15,290.53,100.78,327.38,40.7415
78.63,523.30,62.34,550.38,31.6017
78.63,523.30,45.82,516.59,33.4810
78.63,523.30,73.50,559.67,36.7292
78.63,523.30,50.83,575.71,59.3199
78.63,523.30,132.60,508.95,55.8499
78.63,523.30,23.77,537.41,56.6460
78.63,523.30,56.03,510.49,25.9767
78.63,523.30,104.03,486.67,44.5829
408.82,510.56,396.49,556.13,47.2084
408.82,510.56,385.53,476.28,41.4408
408.82,510.56,352.01,503.71,57.2248
408.82,510.56,381.08,482.29,39.6079
408.82,510.56,453.30,480.33,53.7814
408.82,510.56,453.66,492.31,48.4097
408.82,510.56,381.39,504.68,28.0487
408.82,510.56,353.88,508.69,54.9743
29.42,273.22,60.27,225.52,56.8069
29.42,273.22,42.86,266.52,15.0176
29.42,273.22,62.59,312.00,51.0319
29.42,273.22,36.81,227.65,46.1610
29.42,273.22,72.57,262.74,44.4012
72.26,20.19,37.00,43.11,42.0538
72.26,20.19,13.89,32.17,59.5789
72.26,20.19,34.62,35.23,40.5331
396.49,556.13,381.39,504.68,53.6173
